mimic_code,mimic_display,target_system,target_code,target_display,comment,codesearch_query,codesearch_query_2,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning,codesearch_loinc_status,codesearch_loinc_target,codesearch_loinc_display,codesearch_loinc_confidence,codesearch_snomed_status,codesearch_snomed_target,codesearch_snomed_display,codesearch_snomed_confidence,observed_shape,loinc_scale_typ,scale_note
225175,See chart for initial patient assessment,,,,"LOINC: no match for 'See chart for initial patient assessment' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 162673000 |General examination of patient| at 0.80 but that code is not a member of <<363787002.",See chart for initial patient assessment,,,,,no-match,,no-match,,,,out-of-constraint,162673000,General examination of patient,0.80,Qn,,
225176,Range of Motion Status,http://snomed.info/sct,364564000,Range of joint movement,,Range of Motion Status,,364564000,Range of joint movement,0.90,ok,FSN matches 'range of motion'; 'status' is non-coded qualifier,no-match,,,,ok,364564000,Range of joint movement,0.90,NomOrd,,
225180,PT Splint Status #1,,,,"LOINC: no match for 'PT Splint Status (recorded values: On, Off, Discontinued)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 724061007 |Device status| at 0.75, below the 0.8 threshold.",PT Splint Status,"PT Splint Status (recorded values: On, Off, Discontinued)",,,,no-match,,no-match,,,,below-threshold,724061007,Device status,0.75,NomOrd,,
225182,PT Splint Status #2,,,,"LOINC: no match for 'PT Splint Status (recorded values: On, Off, Discontinued)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 724061007 |Device status| at 0.75, below the 0.8 threshold.",PT Splint Status,"PT Splint Status (recorded values: On, Off, Discontinued)",,,,no-match,,no-match,,,,below-threshold,724061007,Device status,0.75,NomOrd,,
225183,Current Goal,http://snomed.info/sct,1055210001,Target parameter,,Current Goal,,1055210001,Target parameter,0.80,ok,Goal observable; 'current' is a non-coded qualifier,no-match,,,,ok,1055210001,Target parameter,0.80,Qn,,
225184,Eye Care,,,,"LOINC: proposed 99261-0 |Told not to have LASIK by an eye care professional| at 0.60, below the 0.8 threshold. SNOMED CT: proposed 225363004 |Eye care| at 0.95 but that code is not a member of <<363787002.",Eye Care,,99261-0,Told not to have LASIK by an eye care professional,0.60,below-threshold,"Context-forced specificity: 'Eye Care' is underspecified for flat code system http://loinc.org (mandatory structural axes); resolved to the most generic in-pool leaf for the analyte (fewest added tokens, uniquely).",below-threshold,99261-0,Told not to have LASIK by an eye care professional,0.60,out-of-constraint,225363004,Eye care,0.95,Qn,,
225185,Skin Care,,,,"LOINC: no match for 'Skin Care' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 225360001 |Skin care| at 0.95 but that code is not a member of <<363787002.",Skin Care,,,,,no-match,,no-match,,,,out-of-constraint,225360001,Skin care,0.95,Qn,,
225187,Back Care,,,,"LOINC: no match for 'Back Care' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Back Care' within <<363787002.",Back Care,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225188,Cough/Deep Breath,http://snomed.info/sct,263731006,Coughing,,Cough/Deep Breath,,263731006,Coughing,0.85,ok,Primary concept 'Cough' matches Coughing observable,below-threshold,70442-9,I have been coughing in the past 7 days [FACIT],0.70,ok,263731006,Coughing,0.85,Qn,,
225189,Incentive Spirometry,,,,"LOINC: no match for 'Incentive Spirometry' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Incentive Spirometry' within <<363787002.",Incentive Spirometry,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225190,Pin Care,,,,"LOINC: no match for 'Pin Care' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Pin Care' within <<363787002.",Pin Care,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225191,Ostomy Care,http://loinc.org,45846-3,Ostomy care [Minimum Data Set],,Ostomy Care,,45846-3,Ostomy care,0.90,ok,FSN matches input exactly; other candidates are broader WOC notes,ok,45846-3,Ostomy care,0.90,,,,,Qn,Ord,LOINC SCALE_TYP=Ord but MIMIC records Qn data — a representation mismatch rather than a wrong target
225192,Collar Care,,,,"LOINC: no match for 'Collar Care' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Collar Care' within <<363787002.",Collar Care,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225194,PT Splint Status #3,,,,"LOINC: no match for 'PT Splint Status (recorded values: On, Off, Discontinued)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 724061007 |Device status| at 0.75, below the 0.8 threshold.",PT Splint Status,"PT Splint Status (recorded values: On, Off, Discontinued)",,,,no-match,,no-match,,,,below-threshold,724061007,Device status,0.75,NomOrd,,
225196,PT Splint Status #4,,,,"LOINC: no match for 'PT Splint Status (recorded values: On, Off, Discontinued)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 724061007 |Device status| at 0.75, below the 0.8 threshold.",PT Splint Status,"PT Splint Status (recorded values: On, Off, Discontinued)",,,,no-match,,no-match,,,,below-threshold,724061007,Device status,0.75,NomOrd,,
225206,Multi Lumen Zero/Calibrate,,,,"LOINC: no match for 'Multi Lumen Zero/Calibrate' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Multi Lumen Zero/Calibrate' within <<363787002.",Multi Lumen Zero/Calibrate,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225210,Arterial Line Zero/Calibrate,,,,"LOINC: no match for 'Arterial Line Zero/Calibrate' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Arterial Line Zero/Calibrate' within <<363787002.",Arterial Line Zero/Calibrate,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225217,Trauma Line Site Appear,,,,"LOINC: proposed 99716-3 |Dialysis access site appearance| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'Trauma Line Site Appear (recorded values: WNL, Oozing, Bleeding, Old Blood, Ecchymotic, Erythematous, Drainage, Not assessed, Hematoma, Redness, Swelling)' within <<363787002.",Trauma Line Site Appear,"Trauma Line Site Appear (recorded values: WNL, Oozing, Bleeding, Old Blood, Ecchymotic, Erythematous, Drainage, Not assessed, Hematoma, Redness, Swelling)",99716-3,Dialysis access site appearance,0.70,below-threshold,Nominal observation of line site appearance; closest match though dialysis-specific,below-threshold,99716-3,Dialysis access site appearance,0.70,no-match,,,,NomOrd,,
225225,CCO PAC Site Appear,,,,"LOINC: proposed 80243-9 |Cardiac catheterization access site| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'CCO PAC Site Appear (recorded values: WNL, Oozing, Bleeding, Old blood, Ecchymotic, Hematoma, Erythematous, Redness, Not assessed, Swelling, Drainage)' within <<363787002.",CCO PAC Site Appear,"CCO PAC Site Appear (recorded values: WNL, Oozing, Bleeding, Old blood, Ecchymotic, Hematoma, Erythematous, Redness, Not assessed, Swelling, Drainage)",80243-9,Cardiac catheterization access site,0.70,below-threshold,Closest concept: nominal observation of catheter access site appearance,below-threshold,80243-9,Cardiac catheterization access site,0.70,no-match,,,,NomOrd,,
225227,CCO PAC Waveform Appear,,,,"LOINC: no match for 'CCO PAC Waveform Appear' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 128443005 |Pulmonary arterial waveform| at 0.60, below the 0.8 threshold.",CCO PAC Waveform Appear,,,,,no-match,,no-match,,,,below-threshold,128443005,Pulmonary arterial waveform,0.60,NomOrd,,
225228,CCO PAC Zero/Calibrate,,,,"LOINC: no match for 'CCO PAC Zero/Calibrate' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'CCO PAC Zero/Calibrate' within <<363787002.",CCO PAC Zero/Calibrate,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225230,20 Gauge Reason Discontinued,,,,"LOINC: proposed 67574-4 |Reason CPR resuscitation discontinued| at 0.50, below the 0.8 threshold. SNOMED CT: no match for '20 Gauge Reason Discontinued' within <<363787002.",20 Gauge Reason Discontinued,,67574-4,Reason CPR resuscitation discontinued,0.50,below-threshold,Only 'reason discontinued' concept available; gauge qualifier not captured,below-threshold,67574-4,Reason CPR resuscitation discontinued,0.50,no-match,,,,NomOrd,,
225231,20 Gauge Site Appear,,,,"LOINC: proposed 99716-3 |Dialysis access site appearance| at 0.70, below the 0.8 threshold. SNOMED CT: no match for '20 Gauge Site Appear' within <<363787002.",20 Gauge Site Appear,,99716-3,Dialysis access site appearance,0.70,below-threshold,Captures 'site appearance'; 20 Gauge is unstated qualifier,below-threshold,99716-3,Dialysis access site appearance,0.70,no-match,,,,NomOrd,,
225233,18 Gauge Reason Discontinued,,,,"LOINC: no match for '18 Gauge Reason Discontinued (recorded values: Routine Change, Infiltrated, Treatment Discontinued, Clotted Off, Phlebitis)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for '18 Gauge Reason Discontinued (recorded values: Routine Change, Infiltrated, Treatment Discontinued, Clotted Off, Phlebitis)' within <<363787002.",18 Gauge Reason Discontinued,"18 Gauge Reason Discontinued (recorded values: Routine Change, Infiltrated, Treatment Discontinued, Clotted Off, Phlebitis)",,,,no-match,,no-match,,,,no-match,,,,NomOrd,,
225234,18 Gauge Site Appear,http://loinc.org,99716-3,Dialysis access site appearance,,18 Gauge Site Appear,,99716-3,Dialysis access site appearance,0.80,ok,FSN matches 'site appearance'; gauge is unstated qualifier,ok,99716-3,Dialysis access site appearance,0.80,,,,,NomOrd,Nom,
225236,16 Gauge Reason Discontinued,,,,"LOINC: no match for '16 Gauge Reason Discontinued (recorded values: Routine Change, Treatment Discontinued, Infiltrated, Clotted Off, Phlebitis)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for '16 Gauge Reason Discontinued (recorded values: Routine Change, Treatment Discontinued, Infiltrated, Clotted Off, Phlebitis)' within <<363787002.",16 Gauge Reason Discontinued,"16 Gauge Reason Discontinued (recorded values: Routine Change, Treatment Discontinued, Infiltrated, Clotted Off, Phlebitis)",,,,no-match,,no-match,,,,no-match,,,,NomOrd,,
225237,16 Gauge Site Appear,http://loinc.org,99716-3,Dialysis access site appearance,,16 Gauge Site Appear,,99716-3,Dialysis access site appearance,0.80,ok,Captures site appearance; 16 gauge implies dialysis access context,ok,99716-3,Dialysis access site appearance,0.80,,,,,NomOrd,Nom,
225239,14 Gauge Reason Discontinued,,,,"LOINC: proposed 67574-4 |Reason CPR resuscitation discontinued| at 0.50, below the 0.8 threshold. SNOMED CT: no match for '14 Gauge Reason Discontinued' within <<363787002.",14 Gauge Reason Discontinued,,67574-4,Reason CPR resuscitation discontinued,0.50,below-threshold,Only 'reason discontinued' code; adds unstated CPR specificity,below-threshold,67574-4,Reason CPR resuscitation discontinued,0.50,no-match,,,,NomOrd,,
225240,14 Gauge Site Appear,,,,"LOINC: proposed 99716-3 |Dialysis access site appearance| at 0.70, below the 0.8 threshold. SNOMED CT: no match for '14 Gauge Site Appear' within <<363787002.",14 Gauge Site Appear,,99716-3,Dialysis access site appearance,0.70,below-threshold,14 gauge needle relates to dialysis access; site appearance matches,below-threshold,99716-3,Dialysis access site appearance,0.70,no-match,,,,NomOrd,,
225242,Indication (THCEN),,,,"LOINC: proposed 104907-1 |Indication Narrative| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'Indication (THCEN)' within <<363787002.",Indication (THCEN),,104907-1,Indication Narrative,0.70,below-threshold,Synonym 'Indication' matches core concept; THCEN qualifier unclear,below-threshold,104907-1,Indication Narrative,0.70,no-match,,,,,,
225244,Side (THCEN),http://loinc.org,32892-2,Side [Identifier] Tooth,,Side (THCEN),,32892-2,Side [Identifier] Tooth,0.80,ok,Side for tooth; THCEN likely dental charting context,ok,32892-2,Side [Identifier] Tooth,0.80,,,,,,Nom,
225245,Patient position (THCEN),http://loinc.org,81684-3,Verified patient position,,Patient position (THCEN),,81684-3,Verified patient position,0.85,ok,Closest match to patient position finding,ok,81684-3,Verified patient position,0.85,,,,,,Ord,
225246,Fluid Removed (THCEN),http://loinc.org,99739-5,Hemodialysis fluid removed [Volume],,Fluid Removed (THCEN),,99739-5,Hemodialysis fluid removed [Volume],0.90,ok,FSN matches; 1 hour variant oversteps,ok,99739-5,Hemodialysis fluid removed [Volume],0.90,,,,,,Qn,
225247,Fluid Removed Description (THCEN),http://snomed.info/sct,251840008,Fluid output,,Fluid Removed Description (THCEN),,251840008,Fluid output,0.85,ok,General observable for fluid removed/output; matches type and meaning,no-match,,,,ok,251840008,Fluid output,0.85,,,
225250,Complications (THCEN),http://loinc.org,19817-6,Complications,,Complications (THCEN),,19817-6,Complications,0.85,ok,FSN 'Complications' matches input; THCEN is a non-coded qualifier,ok,19817-6,Complications,0.85,,,,,,Nom,
225254,Indication (PACEN),http://snomed.info/sct,432678004,Indication for procedure,,Indication (PACEN),,432678004,Indication for procedure,0.80,ok,Indication is the core concept; PACEN is a context qualifier,below-threshold,104907-1,Indication Narrative,0.70,ok,432678004,Indication for procedure,0.80,,,
225255,Ultrasound (PACEN),,,,"LOINC: no match for 'Ultrasound (PACEN)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 421469009 |Ultrasound observable| at 0.70, below the 0.8 threshold.",Ultrasound (PACEN),,,,,no-match,,no-match,,,,below-threshold,421469009,Ultrasound observable,0.70,,,
225256,Insertion site prepped and draped (PACEN),,,,"LOINC: no match for 'Insertion site prepped and draped (PACEN)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Insertion site prepped and draped (PACEN)' within <<363787002.",Insertion site prepped and draped (PACEN),,,,,no-match,,no-match,,,,no-match,,,,,,
225257,Lidocaine 1% (PACEN),,,,"LOINC: no match for 'Lidocaine 1% (PACEN)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 781968008 |Lidocaine hydrochloride 10 mg/mL solution for injection| at 0.90 but that code is not a member of <<363787002.",Lidocaine 1% (PACEN),,,,,no-match,,no-match,,,,out-of-constraint,781968008,Lidocaine hydrochloride 10 mg/mL solution for injection,0.90,,,
225260,Entry site (PACEN),,,,"LOINC: no match for 'Entry site (PACEN)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Entry site (PACEN)' within <<363787002.",Entry site (PACEN),,,,,no-match,,no-match,,,,no-match,,,,,,
225261,Fluid removed (PACEN),http://snomed.info/sct,251840008,Fluid output,,Fluid removed (PACEN),,251840008,Fluid output,0.85,ok,Fluid removed equates to fluid output observable,below-threshold,99739-5,Hemodialysis fluid removed [Volume],0.50,ok,251840008,Fluid output,0.85,,,
225262,Fluid removed description (PACEN),,,,"LOINC: no match for 'Fluid removed description (PACEN)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 251840008 |Fluid output| at 0.60, below the 0.8 threshold.",Fluid removed description (PACEN),,,,,no-match,,no-match,,,,below-threshold,251840008,Fluid output,0.60,,,
225267,Difficult to Intubate,http://loinc.org,95050-1,Difficult intubation,,Difficult to Intubate,,95050-1,Difficult intubation,0.85,ok,FSN matches input exactly,ok,95050-1,Difficult intubation,0.85,,,,,,Ord,
225271,Induction/Drugs/Doses (Intubation),,,,"LOINC: proposed 29303-5 |Medication administered| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'Induction/Drugs/Doses (Intubation)' within <<363787002.",Induction/Drugs/Doses (Intubation),,29303-5,Medication administered,0.70,below-threshold,Section documents induction drugs/doses given; best fit is medication administered,below-threshold,29303-5,Medication administered,0.70,no-match,,,,,,
225277,ETT Position (cm at teeth),http://loinc.org,33444-1,Intubation tube depth Respiratory system,,ETT Position (cm at teeth),,33444-1,Intubation tube depth Respiratory system,0.85,ok,ETT position at teeth in cm = tube depth measurement,ok,33444-1,Intubation tube depth Respiratory system,0.85,,,,,,Qn,
225278,ETT Route,,,,"LOINC: no match for 'ETT Route' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'ETT Route' within <<363787002.",ETT Route,,,,,no-match,,no-match,,,,no-match,,,,,,
225280,Called Out,,,,"LOINC: no match for 'Called Out' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Called Out' within <<363787002.",Called Out,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
225281,Indications (PICC),http://snomed.info/sct,432678004,Indication for procedure,,Indications (PICC),,432678004,Indication for procedure,0.85,ok,PICC is a procedure; indication for procedure matches,below-threshold,104907-1,Indication Narrative,0.75,ok,432678004,Indication for procedure,0.85,,,
225283,Hand Cleansing Prior to Procedure (PICC),,,,"LOINC: no match for 'Hand Cleansing Prior to Procedure (PICC)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 258154008 |Washing hands| at 0.75, below the 0.8 threshold.",Hand Cleansing Prior to Procedure (PICC),,,,,no-match,,no-match,,,,below-threshold,258154008,Washing hands,0.75,,,
225284,PICC Ordered on POE,,,,"LOINC: no match for 'PICC Ordered on POE' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'PICC Ordered on POE' within <<363787002.",PICC Ordered on POE,,,,,no-match,,no-match,,,,no-match,,,,,,
225285,Catheter repositioned (PICC),,,,"LOINC: proposed 107273-5 |RF Guidance for reposition of CV catheter in Unspecified body region| at 0.80, which passed the constraint but LOINC SCALE_TYP=Doc, i.e. a document type, which is not a legal Observation.code for a single flowsheet value. SNOMED CT: no match for 'Catheter repositioned (PICC)' within <<363787002.",Catheter repositioned (PICC),,107273-5,RF Guidance for reposition of CV catheter in Unspecified body region,0.80,scale-mismatch,"PICC is a central venous catheter; reposition guidance matches, unspecified region",scale-mismatch,107273-5,RF Guidance for reposition of CV catheter in Unspecified body region,0.80,no-match,,,,,Doc,"LOINC SCALE_TYP=Doc, i.e. a document type, which is not a legal Observation.code for a single flowsheet value"
225287,Transparent dressing applied and dated (PICC),,,,"LOINC: no match for 'Transparent dressing applied and dated (PICC)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Transparent dressing applied and dated (PICC)' within <<363787002.",Transparent dressing applied and dated (PICC),,,,,no-match,,no-match,,,,no-match,,,,,,
225288,Follow-up X-RAY Ordered (PICC),,,,"LOINC: proposed 24631-4 |RF Unspecified body region Views for central venous catheter placement check| at 0.85, which passed the constraint but LOINC SCALE_TYP=Doc, i.e. a document type, which is not a legal Observation.code for a single flowsheet value. SNOMED CT: proposed 713023004 |Plain X-ray of upper limb| at 0.70, below the 0.8 threshold.",Follow-up X-RAY Ordered (PICC),,24631-4,RF Unspecified body region Views for central venous catheter placement check,0.85,scale-mismatch,X-ray views to check central venous catheter (PICC) placement,scale-mismatch,24631-4,RF Unspecified body region Views for central venous catheter placement check,0.85,below-threshold,713023004,Plain X-ray of upper limb,0.70,,Doc,"LOINC SCALE_TYP=Doc, i.e. a document type, which is not a legal Observation.code for a single flowsheet value"
225289,Attending/Supervisor is Clinician Operator (PICC),,,,"LOINC: no match for 'Attending/Supervisor is Clinician Operator (PICC)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Attending/Supervisor is Clinician Operator (PICC)' within <<363787002.",Attending/Supervisor is Clinician Operator (PICC),,,,,no-match,,no-match,,,,no-match,,,,,,
225290,Present during key moments and agree with checklist (PICC),,,,"LOINC: no match for 'Present during key moments and agree with checklist (PICC)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Present during key moments and agree with checklist (PICC)' within <<363787002.",Present during key moments and agree with checklist (PICC),,,,,no-match,,no-match,,,,no-match,,,,,,
225291,Indication (Intubation),http://snomed.info/sct,432678004,Indication for procedure,,Indication (Intubation),,432678004,Indication for procedure,0.85,ok,Core concept is indication for a procedure; intubation is the procedure context,no-match,,,,ok,432678004,Indication for procedure,0.85,,,
225292,Unable to complete Airway Assessment (Intubation),,,,"LOINC: no match for 'Unable to complete Airway Assessment (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Unable to complete Airway Assessment (Intubation)' within <<363787002.",Unable to complete Airway Assessment (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225294,Mouth Opening (Intubation),http://snomed.info/sct,418755004,Interincisor distance,,Mouth Opening (Intubation),,418755004,Interincisor distance,0.85,ok,Synonym 'Size of mouth opening' matches; intubation is context,no-match,,,,ok,418755004,Interincisor distance,0.85,,,
225295,Thyromental Distance (Intubation),http://snomed.info/sct,427422008,Thyromental distance,,Thyromental Distance (Intubation),,427422008,Thyromental distance,0.95,ok,FSN matches input exactly,no-match,,,,ok,427422008,Thyromental distance,0.95,,,
225296,Mandibular Prognatism (Intubation),,,,"LOINC: no match for 'Mandibular Prognatism (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Mandibular Prognatism (Intubation)' within <<363787002.",Mandibular Prognatism (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225297,Teeth/Dentition (Intubation),http://snomed.info/sct,364133007,Measure of dentition,,Teeth/Dentition (Intubation),,364133007,Measure of dentition,0.80,ok,Observable entity for dentition; intubation is context qualifier,below-threshold,28268-1,Dentition.status [OMAHA],0.70,ok,364133007,Measure of dentition,0.80,,,
225298,Neck ROM (Intubation),http://loinc.org,45524-6,Range of motion Neck [Minimum Data Set],,Neck ROM (Intubation),,45524-6,Range of motion Neck [Minimum Data Set],0.85,ok,Neck ROM assessment; intubation is context qualifier,ok,45524-6,Range of motion Neck [Minimum Data Set],0.85,,,,,,Ord,
225300,No Drugs Administered (Intubation),,,,"LOINC: no match for 'No Drugs Administered (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'No Drugs Administered (Intubation)' within <<363787002.",No Drugs Administered (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225301,RSI (Intubation),,,,"LOINC: no match for 'RSI (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'RSI (Intubation)' within <<363787002.",RSI (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225302,Pre-Oxygentated (Intubation),,,,"LOINC: proposed 89014-5 |Oxygen was used for preoxygenation| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'Pre-Oxygentated (Intubation)' within <<363787002.",Pre-Oxygentated (Intubation),,89014-5,Oxygen was used for preoxygenation,0.70,below-threshold,Closest LOINC match capturing preoxygenation concept,below-threshold,89014-5,Oxygen was used for preoxygenation,0.70,no-match,,,,,,
225303,Mask Ventilation (Intubation),,,,"LOINC: no match for 'Mask Ventilation (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Mask Ventilation (Intubation)' within <<363787002.",Mask Ventilation (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225304,Blade / Equipment (Intubation),,,,"LOINC: no match for 'Blade / Equipment (Intubation)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Blade / Equipment (Intubation)' within <<363787002.",Blade / Equipment (Intubation),,,,,no-match,,no-match,,,,no-match,,,,,,
225306,Number of Attempts (Intubation),http://snomed.info/sct,447754009,Number of procedure attempts,,Number of Attempts (Intubation),,447754009,Number of procedure attempts,0.90,ok,FSN matches number of attempts for a procedure; intubation is context,below-threshold,88661-4,Number of unsuccessful attempts,0.70,ok,447754009,Number of procedure attempts,0.90,,,
225307,Oral ETT,,,,"LOINC: no match for 'Oral ETT' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Oral ETT' within <<363787002.",Oral ETT,,,,,no-match,,no-match,,,,no-match,,,,,,
225308,Nasal ETT,,,,"LOINC: no match for 'Nasal ETT' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Nasal ETT' within <<363787002.",Nasal ETT,,,,,no-match,,no-match,,,,no-match,,,,,,
225309,ART BP Systolic,http://loinc.org,8480-6,Systolic blood pressure,,ART BP Systolic,,8480-6,Systolic blood pressure,0.85,ok,FSN 'Intravascular systolic:Arterial system' matches arterial systolic BP,ok,8480-6,Systolic blood pressure,0.85,,,,,Qn,Qn,
225310,ART BP Diastolic,http://loinc.org,8462-4,Diastolic blood pressure,,ART BP Diastolic,,8462-4,Diastolic blood pressure,0.85,ok,FSN 'Intravascular diastolic:Arterial system' matches arterial diastolic BP,ok,8462-4,Diastolic blood pressure,0.85,,,,,Qn,Qn,
225312,ART BP Mean,http://loinc.org,8478-0,Mean blood pressure,,ART BP Mean,,8478-0,Mean blood pressure,0.95,ok,FSN matches arterial mean BP; ART = arterial system,ok,8478-0,Mean blood pressure,0.95,,,,,Qn,Qn,
225313,Bed Bath,http://loinc.org,54720-8,Resident prefers receiving bed bath [MDSv3],,Bed Bath,,54720-8,Resident prefers receiving bed bath,0.85,ok,FSN matches bed bath preference exactly,ok,54720-8,Resident prefers receiving bed bath,0.85,,,,,Qn,Ord,LOINC SCALE_TYP=Ord but MIMIC records Qn data — a representation mismatch rather than a wrong target
225323,Dialysis Catheter Site Appear,http://loinc.org,99716-3,Dialysis access site appearance,,Dialysis Catheter Site Appear,,99716-3,Dialysis access site appearance,0.90,ok,FSN matches input meaning; appearance of dialysis access site,ok,99716-3,Dialysis access site appearance,0.90,,,,,NomOrd,Nom,
225331,Tunneled (Hickman) Site Appear,,,,"LOINC: proposed 99716-3 |Dialysis access site appearance| at 0.50, below the 0.8 threshold. SNOMED CT: no match for 'Tunneled (Hickman) Site Appear' within <<363787002.",Tunneled (Hickman) Site Appear,,99716-3,Dialysis access site appearance,0.50,below-threshold,Only site-appearance observation available; dialysis qualifier unstated in input,below-threshold,99716-3,Dialysis access site appearance,0.50,no-match,,,,NomOrd,,
225339,IABP Site Appear,,,,"LOINC: proposed 99716-3 |Dialysis access site appearance| at 0.50, below the 0.8 threshold. SNOMED CT: proposed 703248002 |Appearance| at 0.70, below the 0.8 threshold.",IABP Site Appear,"IABP Site Appear (recorded values: WNL, Oozing, Bleeding, Old blood, Ecchymotic, Hematoma, Not assessed, Redness, Erythematous, Swelling)",99716-3,Dialysis access site appearance,0.50,below-threshold,Only site-appearance observation; site type differs from IABP,below-threshold,99716-3,Dialysis access site appearance,0.50,below-threshold,703248002,Appearance,0.70,NomOrd,,
225341,IABP Art. Waveform Appear,,,,"LOINC: no match for 'IABP Art. Waveform Appear' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 252067003 |Arterial velocity waveform| at 0.70, below the 0.8 threshold.",IABP Art. Waveform Appear,,,,,no-match,,no-match,,,,below-threshold,252067003,Arterial velocity waveform,0.70,NomOrd,,
